symbol,side,entry_date,exit_date,entry_z,exit_z,beta,corr,hold_bars,pair_ret,exit_reason
HDFCBANK,SHORT_PAIR,2024-06-04,2024-06-07,2.0566117937242705,0.20938672397127034,0.04529173674939222,0.7004380079344773,3,-0.05790726567360781,mean_revert
HDFCBANK,SHORT_PAIR,2024-06-19,2024-06-27,2.3555576313295505,0.2341421278626949,0.05107016395786178,0.8810038524227758,6,-0.02195450621763315,mean_revert
HDFCBANK,LONG_PAIR,2024-07-05,2024-08-02,-2.535613540544635,-0.21160513544298398,0.059683500021942636,0.9402451566670227,19,0.005738364620342354,mean_revert
HDFCBANK,SHORT_PAIR,2024-10-21,2024-11-12,3.001376634480701,0.4289479817550861,0.03435777957652384,0.7850152007038271,16,0.004829381587353326,mean_revert
HDFCBANK,SHORT_PAIR,2025-02-17,2025-03-11,2.2445038985559567,0.36295680110310086,0.06108288402125232,0.9185208354100632,15,0.01731795591584774,mean_revert
HDFCBANK,SHORT_PAIR,2025-07-21,2025-08-19,2.3026004185436673,0.6349497527476036,0.04549737424045084,0.864959405625503,20,0.0020224495863017155,time
HDFCBANK,LONG_PAIR,2025-12-18,2026-01-02,-2.015290434510828,-0.42604798620256074,0.033243825109893606,0.9097199559720522,10,0.021693128090115633,mean_revert
HDFCBANK,LONG_PAIR,2026-02-09,2026-03-02,-2.0917946085281742,-0.056576401840189326,0.07742146728133541,0.8214829305835648,15,-0.05872529986565381,mean_revert
HDFCBANK,LONG_PAIR,2026-04-15,2026-05-14,-2.2010209365802798,-0.9517700449826934,0.05689682657989176,0.9651288416221911,20,-0.04854899921100547,time
HDFCBANK,SHORT_PAIR,2026-06-29,2026-07-20,2.211680038038246,-1.2106494068566003,0.039249945350467656,0.8089680861350297,15,0.027140742753165966,mean_revert
BHARTIARTL,SHORT_PAIR,2021-11-22,2021-12-03,2.8006367611844,0.14463719700550923,0.056715840928798285,0.7004010183214165,9,0.03128797064295196,mean_revert
BHARTIARTL,SHORT_PAIR,2022-04-07,2022-05-10,2.099934402595545,2.1063250531544453,0.030350717446040856,0.7031520090152407,20,0.053664833213292504,time
BHARTIARTL,SHORT_PAIR,2022-05-11,2022-05-18,2.2370207907007225,0.1916192679207903,0.041611701166615105,0.7643061260545283,5,0.03712545372723372,mean_revert
