date,event,pair,side,ret,pnl,equity,dd
2022-03-02,open,SBI_AXIS,LONG_Y,0.04650453191867421,0.0,404321.6996080432,-0.010807559564013247
2022-03-03,open,HDFC_KOTAK,LONG_Y,0.04060603968119786,0.0,404321.6996080432,-0.010807559564013247
2022-03-04,close,RELIANCE_BPCL,SHORT_Y,0.03652850462576615,3692.3167686075094,408014.0163766507,-0.0017741294049534728
2022-03-04,open,ICICI_SBI,LONG_Y,-0.021770791703446202,0.0,408014.0163766507,-0.0017741294049534728
2022-03-10,close,SBI_AXIS,LONG_Y,0.04650453191867421,4700.697846208713,412714.7142228594,0.0
2022-03-14,close,HDFC_KOTAK,LONG_Y,0.04060603968119786,4104.47574456339,416819.1899674228,0.0
2022-03-17,open,RELIANCE_BPCL,SHORT_Y,-0.03162516416773892,0.0,416819.1899674228,0.0
2022-03-21,close,ICICI_SBI,LONG_Y,-0.021770791703446202,-2220.6970406556375,414598.49292676715,-0.005327722653146627
2022-03-24,open,Nifty_FinNifty,LONG_Y,0.036038481124671784,0.0,414598.49292676715,-0.005327722653146627
2022-04-01,close,RELIANCE_BPCL,SHORT_Y,-0.03162516416773892,-3295.493827745925,411302.99909902125,-0.01323401369508126
2022-04-04,close,Nifty_FinNifty,LONG_Y,0.036038481124671784,3735.3749904146666,415038.3740894359,-0.004272394171981553
2022-04-04,open,HDFC_KOTAK,SHORT_Y,0.059952540193235315,0.0,415038.3740894359,-0.004272394171981553
2022-04-08,open,MARUTI_MM,LONG_Y,-0.037772077159964834,0.0,415038.3740894359,-0.004272394171981553
2022-04-12,close,HDFC_KOTAK,SHORT_Y,0.059952540193235315,6220.651201082986,421259.0252905189,0.0
2022-04-21,open,SUN_CIPLA,SHORT_Y,0.014723975280203944,0.0,421259.0252905189,0.0
2022-04-26,close,MARUTI_MM,LONG_Y,-0.037772077159964834,-3919.2153726131305,417339.8099179058,-0.009303576035932348
2022-05-05,close,SUN_CIPLA,SHORT_Y,0.014723975280203944,1550.651868735102,418890.46178664087,-0.005622582215881411
2022-05-06,open,SBI_AXIS,SHORT_Y,0.019195126544003377,0.0,418890.46178664087,-0.005622582215881411
