side,hold,ret,reason,entry_z,symbol
LONG,2,-0.010163843928188018,cut_wrong,-2.196680506891806,ICICIBANK
LONG,4,0.0015820680645977558,time,-2.071961365730887,ICICIBANK
LONG,3,0.03757011039000649,mean_revert,-2.035520014673055,ICICIBANK
SHORT,4,-0.013238465985776602,cut_wrong,2.925868365428911,ICICIBANK
LONG,2,-0.0016790427620077706,cut_wrong,-2.0748164130542297,ICICIBANK
LONG,2,-0.0039363337378176605,cut_wrong,-2.457732969595761,ICICIBANK
LONG,3,-0.001796213403613447,cut_wrong,-2.4058517556162644,ICICIBANK
LONG,4,0.0010694185392799132,time,-2.5395758918275417,ICICIBANK
LONG,2,-0.014278064839770928,cut_wrong,-2.0136730446583035,ICICIBANK
SHORT,4,-0.0006260486145051344,cut_wrong,2.2805391781608533,ICICIBANK
SHORT,2,-0.0042439308378636855,cut_wrong,2.637997466065734,ICICIBANK
SHORT,4,0.011136401454751027,time,2.5110344104585463,ICICIBANK
SHORT,4,0.0025361253382893295,time,2.082476737679314,ICICIBANK
SHORT,4,0.00796817844643881,mean_revert,2.526865069324184,ICICIBANK
SHORT,2,-0.003645195197649022,stop,2.7864942119719536,ICICIBANK
SHORT,2,-0.003876202029974615,cut_wrong,2.807655777475639,ICICIBANK
SHORT,1,-0.02981831984083844,stop,3.464045708374278,ICICIBANK
LONG,4,0.027099633129332414,mean_revert,-2.022469724442769,ICICIBANK
SHORT,3,-0.0012202713061085627,cut_wrong,2.1684877828547755,ICICIBANK
SHORT,2,-0.034061165634944816,cut_wrong,2.4171489545559264,ICICIBANK
LONG,2,-0.002762492893108221,cut_wrong,-2.1901089691966806,ICICIBANK
LONG,4,0.0036902374724119853,time,-2.0687270419744754,ICICIBANK
SHORT,4,-0.0025022903999268606,cut_wrong,3.672257184726092,ICICIBANK
SHORT,4,0.05239532762946727,mean_revert,2.811850120270165,ICICIBANK
LONG,2,-0.007822552028412658,cut_wrong,-2.0250446739069687,ICICIBANK
LONG,4,0.012604066624645055,time,-2.7101975774613933,ICICIBANK
SHORT,2,-0.006282512107249763,cut_wrong,2.47891372543234,ICICIBANK
SHORT,4,-0.008651186126433771,cut_wrong,2.193268997047831,ICICIBANK
LONG,2,-0.03639410722171028,cut_wrong,-2.3173228174085536,INFY
LONG,2,-0.026045485328614938,cut_wrong,-2.8835781117389883,INFY
LONG,2,-0.0023779094919553034,cut_wrong,-2.627615252094241,INFY
LONG,4,-0.0028150232090275295,mean_revert,-2.3579870835391685,INFY
SHORT,2,-0.009148560099754526,cut_wrong,2.4513819953824414,INFY
SHORT,2,-0.029588277244300746,cut_wrong,2.3691942188189516,INFY
LONG,2,-0.012922715539418813,cut_wrong,-2.5237516522656867,INFY
SHORT,2,-0.03383476813835116,stop,3.8010470350643413,INFY
SHORT,2,0.0967891574118957,mean_revert,2.9318549585256917,INFY
SHORT,3,-0.010208653797714257,cut_wrong,2.1070381621215417,INFY
SHORT,2,-0.019255535425321452,cut_wrong,2.2297131298648885,INFY
LONG,3,0.05374615484896883,mean_revert,-2.158155171770724,INFY
LONG,2,-0.0015213585187595657,cut_wrong,-2.0368337530562965,INFY
SHORT,4,0.02636774486755462,time,2.0619840698940055,INFY
LONG,4,0.02629986518232039,mean_revert,-2.0856460683753286,INFY
LONG,1,0.07867190555072008,mean_revert,-2.1628713927014087,INFY
SHORT,4,-0.005626819448647126,cut_wrong,3.059303502766122,INFY
SHORT,2,-0.016041716838015738,cut_wrong,2.9840613723734752,INFY
SHORT,4,0.02731980347792142,time,2.148381033372747,INFY
SHORT,2,-0.017633383349500154,cut_wrong,2.1552323075399267,INFY
SHORT,4,-0.029424358312849588,cut_wrong,2.042129306388183,INFY
SHORT,2,-0.03913427222682116,stop,2.0880632702988207,INFY
SHORT,1,-0.014538705810551117,stop,3.517027385110996,INFY
SHORT,2,-0.02222064915241572,cut_wrong,3.2191155747150453,INFY
SHORT,2,-0.019632949652612856,cut_wrong,2.1590715461936294,INFY
LONG,2,-0.004864408300221605,cut_wrong,-2.0563151353919062,INFY
LONG,4,0.015099093947501228,time,-2.2379616198111756,INFY
LONG,2,-0.014196128144619196,cut_wrong,-2.4538520929207412,INFY
LONG,2,-0.0007389538739501868,cut_wrong,-3.5186197303485587,INFY
LONG,3,-0.001983730066845989,cut_wrong,-3.3791221237437803,INFY
LONG,2,-0.006002779501899386,cut_wrong,-2.4255308898701395,INFY
LONG,4,0.046324800297782416,time,-2.064907825595965,INFY
SHORT,2,-0.008446024299571234,cut_wrong,2.2890401086374954,INFY
SHORT,4,-0.004304815029561353,cut_wrong,2.3021411854425775,INFY
SHORT,2,-0.037291969064895875,cut_wrong,2.4259499542273937,INFY
SHORT,4,0.026991193736511505,time,2.001661634258869,INFY
SHORT,4,0.042883924211492286,time,2.045092833143776,SBIN
SHORT,2,-0.07051828764658923,stop,2.0460003041460255,SBIN
SHORT,2,-0.015910354519597512,cut_wrong,3.210300377253926,SBIN
SHORT,2,-0.016110979300544247,cut_wrong,2.008177289687088,SBIN
SHORT,2,-0.030377720017141067,cut_wrong,2.2889084596026312,SBIN
SHORT,4,0.01837442227238889,time,2.3163998923681306,SBIN
SHORT,2,-0.0006422922257545715,cut_wrong,2.286993468543336,SBIN
SHORT,4,0.05208571422555238,time,2.1387544531776355,SBIN
SHORT,4,0.013699415936986627,time,2.419048536534779,SBIN
LONG,4,0.037205716436587453,time,-3.404984417897994,SBIN
LONG,2,-0.0017329881899557891,cut_wrong,-2.06729606655077,SBIN
LONG,2,-0.01381906432649959,cut_wrong,-2.2326730679338986,SBIN
LONG,4,-0.0006958311553095457,cut_wrong,-2.293966733131461,SBIN
LONG,2,-0.010290918194687006,cut_wrong,-2.1574885057128204,SBIN
SHORT,3,-4.982571519147785e-05,cut_wrong,2.218173238746035,SBIN
LONG,2,-0.00041227815199865387,cut_wrong,-2.2708262773583834,SBIN
LONG,2,-0.0028345643492200014,cut_wrong,-2.5640317772090806,SBIN
SHORT,1,-0.03630810594034316,stop,2.2596046879278227,SBIN
SHORT,3,-0.024926568783893256,stop,4.524897722160388,SBIN
SHORT,4,-0.012548237516069394,cut_wrong,3.6972547487135117,SBIN
SHORT,4,0.011753746356266982,stop,2.022569551256429,SBIN
LONG,2,-0.0039260780800186275,cut_wrong,-2.575936482655361,SBIN
LONG,3,-0.013013732766303519,cut_wrong,-2.245027849733477,SBIN
LONG,2,-0.019885885696962306,cut_wrong,-2.280480752965153,SBIN
